LABELS
SEPARATOR TAB
DATA
G000005825	s__Bacillus pseudofirmus
G001871325	s__Ignavibacteria bacterium CG1_02_37_35
G001871365	s__Ca. Kuenenbacteria bacterium CG1_02_38_13
G001871415	p__Ca. Woesearchaeota
G001871435	s__Ca. Magasanikbacteria bacterium CG1_02_32_51
G001871445	s__Ca. Magasanikbacteria bacterium CG1_02_41_34
G001871475	s__Ca. Micrarchaeota archaeon CG1_02_47_40
G001871535	s__Ca. Micrarchaeota archaeon CG1_02_49_24
G001871575	s__Caldisericum sp. CG2_30_36_11
G001871685	s__Nitrospirae bacterium CG1_02_44_142
G001871765	s__Ca. Nomurabacteria bacterium CG1_02_43_90
G001871815	s__Ca. Omnitrophica bacterium CG1_02_40_15
G001871835	s__Ca. Beckwithbacteria bacterium CG2_30_44_31
G001871865	s__Ca. Omnitrophica bacterium CG1_02_41_171
G001871895	s__Anaerolineae bacterium CG1_02_58_13
G001871925	s__Zetaproteobacteria bacterium CG1_02_53_45
G001871995	s__bacterium CG1_02_42_9
G001872005	s__Ca. Collierbacteria bacterium CG1_02_44_10
G001872035	s__Ca. Beckwithbacteria bacterium CG1_02_47_37
G001872105	s__Ca. Omnitrophica bacterium CG1_02_49_16
G001872165	s__Anaerolineae bacterium CG2_30_58_95
G001872225	s__Parcubacteria group bacterium CG1_02_37_13
G001872245	s__Parcubacteria group bacterium CG1_02_37_51
G001872265	s__Parcubacteria group bacterium CG1_02_39_15
G001872305	s__Parcubacteria group bacterium CG1_02_40_25
G001872335	s__Ca. Pacebacteria bacterium CG1_02_43_31
G001872385	s__Parcubacteria group bacterium CG1_02_40_82
G001872425	s__Parcubacteria group bacterium CG1_02_41_26
G001872435	s__Parcubacteria group bacterium CG1_02_41_12
G001872485	s__Parcubacteria group bacterium CG1_02_44_31
G001872505	s__Parcubacteria group bacterium CG1_02_50_68
G001872545	s__Parcubacteria group bacterium CG1_02_58_44
G001872575	s__Ca. Peregrinibacteria bacterium CG1_02_54_53
G001872685	s__Ca. Marinimicrobia bacterium CG1_02_48_14
G001872735	s__Verrucomicrobia bacterium CG1_02_43_26
G001872775	s__Ca. Omnitrophica bacterium CG1_02_43_210
G001872865	s__Gallionellaceae bacterium CG1_02_60_948
G001872925	s__Dehalococcoidia bacterium CG2_30_46_19
G001872935	s__bacterium CG2_30_33_46
G001872945	s__bacterium CG2_30_37_16
G001872985	s__bacterium CG2_30_54_10
G001872995	s__Bacteroidetes bacterium CG2_30_32_10
G001873005	s__Dehalococcoidia bacterium CG2_30_46_9
G001873045	s__Ca. Omnitrophica bacterium CG1_02_49_10
G001873075	s__Fibrobacteres bacterium CG2_30_45_31
G001873115	s__Desulfobacterales bacterium CG2_30_60_27
G001873135	s__Helicobacteraceae bacterium CG2_30_36_10
G001873185	s__Ignavibacteria bacterium CG2_30_36_16
G001873245	s__Ca. Moranbacteria bacterium CG2_30_45_14
G001873265	s__Nitrospirae bacterium CG2_30_41_42
G001873305	s__Ca. Nomurabacteria bacterium CG2_30_43_9
G001873365	s__Oscillatoriales cyanobacterium CG2_30_40_61
G001873375	s__Oscillatoriales cyanobacterium CG2_30_44_21
G001873405	s__Parcubacteria group bacterium CG2_30_36_18
G001873435	s__Ca. Pacebacteria bacterium CG2_30_36_39
G001873465	s__Parcubacteria group bacterium CG2_30_36_38
G001873485	s__Parcubacteria group bacterium CG2_30_44_11
G001873495	s__Parcubacteria group bacterium CG2_30_44_18
G001873515	s__Parcubacteria group bacterium CG2_30_45_37
G001873525	s__Parcubacteria group bacterium CG2_30_48_51
G001873565	s__Ca. Peregrinibacteria bacterium CG2_30_44_17
G001873595	s__Ca. Roizmanbacteria bacterium CG2_30_33_16
G001873625	s__Ca. Saccharibacteria bacterium CG2_30_41_52
G001873675	s__Syntrophaceae bacterium CG2_30_49_12
G001873715	s__Thiomicrospira sp. CG2_30_44_34
G001873745	s__Syntrophaceae bacterium CG2_30_58_14
G001873755	p__Ca. Wirthbacteria
G001873785	s__bacterium CG2_30_40_12
G001873795	s__Zetaproteobacteria bacterium CG2_30_46_52
G001873845	g__Ca. Altiarchaeum
G001873875	s__Ca. Moranbacteria bacterium CG2_30_41_165
G001873905	s__Deltaproteobacteria bacterium CG2_30_43_15
G001873945	p__Ca. Desantisbacteria
G001874005	s__Desulfobacteraceae bacterium CG2_30_51_40
G001874025	s__Ca. Omnitrophica bacterium CG1_02_46_14
G001874155	s__Vibrio sp. MedPE-SWchi
G001874165	s__Crocinitomix sp. MedPE-SWsnd
G001874305	s__Bacteriovorax sp. MedPE-SWde
G001874325	s__Flavobacterium sp. MedPE-SWcel
G001874625	s__Providencia rettgeri
G001875255	p__Ca. Hyd24-12
G001875345	s__Marine Group III euryarchaeote CG-Epi1
G001875425	s__Marine Group III euryarchaeote CG-Bathy1
G001875605	s__Cellvibrionales bacterium GSC11
G001878675	s__Virgibacillus halodenitrificans
G001879715	g__Nioella
G001880325	s__Thermus brockianus
G001881495	s__Ca. Rickettsiella isopodorum
G001881585	s__Mycobacterium heckeshornense
G001884705	s__Couchioplanes caeruleus
G001884735	g__Natronohydrobacter
G001884825	s__Bacillaceae bacterium G1
G001886695	s__Erythrobacter gangjinensis
G001886715	s__Nocardia soli
G001886815	s__Caldithrix abyssi
G001887245	s__Neomicrococcus aestuarii
G001887285	s__Microbacterium paludicola
G001887595	s__Klebsiella michiganensis
G001888055	g__Rappaport
G001888095	s__Methanohalophilus portucalensis
G001888885	s__Streptomyces viridifaciens
G001889005	s__Gramella sp. LPB0144
G001889025	s__Sphingopyxis sp. LPB0140
G001889065	g__Suttonella
G001889105	s__Sinorhizobium americanum
G001889965	s__bacterium CG10_46_32
G001890035	s__bacterium CG10_49_38
G001890045	s__bacterium CG09_39_24
G001890765	s__Spirulina major
G001890925	g__Planktotalea
G001890965	s__marine bacterium AO1-C
G001890975	g__Roseofilum
G001894865	s__Rhodococcus maanshanensis
G001896565	s__bacterium EBM-40
G001896635	s__Aminobacterium sp. EBM-42
G001896645	s__Tepidanaerobacter sp. EBM-49
G001896655	s__Proteiniphilum sp. EBM-41
G001896705	s__Coprothermobacter sp. EBM-25
G001896715	s__Methanoculleus sp. EBM-46
G001896725	s__Methanococcoides sp. EBM-47
G001896965	s__Sphingobacteriales bacterium 41-5
G001897035	s__Bacteroidales bacterium 45-6
G001897185	s__Chlamydia sp. 32-24
G001897225	s__Chlamydiales bacterium 38-26
G001897295	s__Ca. Saccharibacteria bacterium 49-20
G001897305	s__Ca. Saccharibacteria bacterium 47-87
G001897445	s__Alphaproteobacteria bacterium 33-17
G001897475	s__Alphaproteobacteria bacterium 43-37
G001897525	s__Bacteroidetes bacterium 43-16
G001897535	s__Bacteroidetes bacterium 37-13
G001897605	s__Clostridiales bacterium 38-18
G001897855	s__Bacteroidetes bacterium 43-93
G001898035	s__Armatimonadetes bacterium 55-13
G001898225	s__Chloroflexi bacterium 54-19
G001898235	s__Gammaproteobacteria bacterium 39-13
G001898335	s__Mucilaginibacter sp. 44-25
G001898405	s__Sphingobacteriales bacterium 44-61
G001898485	s__Sphingobacteriales bacterium 46-32
G001898495	s__Sphingobacteriales bacterium 48-107
G001898505	s__Sphingobacteriales bacterium 50-39
G001898575	s__Spirosoma sp. 48-14
G001898935	s__Paludibacter sp. 47-17
G001899005	s__Chloroflexi bacterium 44-23
G001899145	s__Flavobacteriia bacterium 40-80
G001899155	s__Flavobacterium sp. 38-13
G001899175	g__Ca. Kapabacteria
G001899315	o__Ca. Obscuribacterales
G001899335	s__Ca. Gastranaerophilus phascolarctosicola
G001899365	s__Ca. Gastranaerophilales bacterium Zag_1
G001899385	o__Ca. Caenarcaniphilales
G001899395	s__Ca. Gastranaerophilales bacterium Zag_111
G001899425	s__Ca. Gastranaerophilales bacterium MH_37
G001899445	g__Ca. Desulfopertinax
G001899505	s__Legionella sp. 40-6
G001899605	s__Sphingobacteriales bacterium 40-81
G001899705	s__Sphingobacterium sp. 40-24
G001901525	s__Methylococcales bacterium OPU3_GD_OMZ
G001904615	s__Limnothrix rosea
G001904635	f__Hydrococcaceae
G001904655	g__Chroogloeocystis
G001904715	s__Nostoc calcicola
G001904725	g__Phormidium
G001905365	s__Streptomyces sp. CB02488
G001907975	s__Proteobacteria bacterium Nonnen-W8red
G001908185	s__Bradyrhizobium sp. AS23.2
G001908275	s__Paenibacillus xylanexedens
G001908775	s__Xanthomonas gardneri
G001909285	s__Exiguobacterium profundum
G001913845	s__Limnothrix sp. CACIAM 69d
G001914235	s__Desulfobulbaceae bacterium DB1
G001914375	s__Ca. Methylomirabilis sp. BIN6
G001914405	s__Euryarchaeota archaeon HMET1
G001914715	s__Ktedonobacter sp. 13_2_20CM_53_11
G001914735	s__Acidobacteria bacterium 13_2_20CM_58_27
G001914775	s__Acidobacteria bacterium 13_2_20CM_57_7
G001914785	s__Acidobacteria bacterium 13_2_20CM_57_17
G001914855	s__Verrucomicrobia bacterium 13_2_20CM_2_54_15_9cls
G001914875	s__Verrucomicrobia bacterium 13_2_20CM_2_54_15
G001914935	s__Nitrospirae bacterium 13_2_20CM_2_63_8
G001915055	s__Ktedonobacter sp. 13_2_20CM_2_56_8
G001915065	s__archaeon 13_2_20CM_2_53_6
G001915265	s__Eggerthella sp. 51_9
G001915415	s__Bacteroidales bacterium 55_9
G001915435	s__Bacteroides sp. 41_26
G001915455	s__Bacteroides sp. 43_46
G001915495	s__Bacteroides finegoldii
G001915655	s__Odoribacter sp. 43_10
G001915695	s__Blautia sp. CAG:37_48_57
G001915895	s__Clostridiales bacterium 59_14
G001916135	s__Clostridium sp. 44_14
G001916165	s__Clostridium sp. CAG:12237_41
G001916175	s__Clostridium sp. CAG:245_30_32
G001916215	s__Clostridium sp. CAG:307_30_263
G001916225	s__Clostridium sp. CAG:62_40_43
G001916295	s__Coprococcus sp. 43_8
G001916305	s__Coprococcus sp. CAG:131_42_139
G001916345	s__Dorea sp. 42_8
G001916415	s__Eubacterium sp. 45_250
G001916495	s__Faecalibacterium sp. CAG:82-related_59_9
G001916635	s__Firmicutes bacterium CAG:137_57_8
G001916695	s__Firmicutes bacterium CAG:176_59_8
G001916755	s__Firmicutes bacterium CAG:272_52_7
G001916835	s__Oscillibacter sp. 57_20
G001916895	s__Roseburia sp. CAG:197_41_10
G001917065	s__Ruminococcus sp. CAG:108-related_41_35
G001917115	s__Melainabacteria sp. 35_41
G001917125	s__Azospirillum sp. 47_25
G001917135	s__Acetobacter sp. 46_36
G001917235	s__Acinetobacter sp. CAG:196_36_41
G001917285	s__Ca. Melainabacteria bacterium LEY3_CP_29_8
G001917295	s__Akkermansia sp. 54_46
G001917435	s__Acidobacteria bacterium 13_2_20CM_2_57_6
G001917455	s__Acidobacteria bacterium 13_2_20CM_2_57_12
G001917495	s__Acidobacteriales bacterium 13_2_20CM_2_55_5
G001917505	s__Thaumarchaeota archaeon 13_1_40CM_38_12
G001917575	s__Nitrospirae bacterium 13_1_40CM_62_7
G001917705	s__Deltaproteobacteria bacterium 13_1_40CM_68_24
G001917825	s__Chloroflexi bacterium 13_1_40CM_55_7
G001917855	s__Armatimonadetes bacterium 13_1_40CM_64_14
G001917935	s__Verrucomicrobia bacterium 13_1_40CM_4_54_4
G001917965	s__Thaumarchaeota archaeon 13_1_40CM_4_48_7
G001917995	s__Thaumarchaeota archaeon 13_1_40CM_4_38_7
G001918165	s__Deltaproteobacteria bacterium 13_1_40CM_4_54_4
G001918235	s__Chloroflexi bacterium 13_1_40CM_4_65_16
G001918255	s__Ktedonobacter sp. 13_1_40CM_4_52_4
G001918315	s__archaeon 13_1_40CM_4_53_4
G001918335	s__Acidobacteria bacterium 13_1_40CM_4_69_4
G001918395	s__Acidobacteria bacterium 13_1_40CM_4_61_5
G001918455	s__Thaumarchaeota archaeon 13_1_40CM_3_50_5
G001918475	s__Thaumarchaeota archaeon 13_1_40CM_3_38_6
G001918525	s__Gemmatimonadetes bacterium 13_1_40CM_3_70_8
G001918595	s__Gemmatimonadetes bacterium 13_1_40CM_3_65_8
G001918745	s__Crenarchaeota archaeon 13_1_40CM_3_52_17
G001918765	s__Crenarchaeota archaeon 13_1_40CM_3_52_10
G001918845	s__Actinobacteria bacterium 13_1_40CM_3_66_19
G001918885	s__Acidobacteria bacterium 13_1_40CM_3_56_11
G001918905	s__Acidobacteria bacterium 13_1_40CM_3_55_6
G001918935	s__Acidobacteriales bacterium 13_1_40CM_3_55_5
G001919105	s__Ignavibacteria bacterium 13_1_40CM_2_61_4
G001919145	s__Gemmatimonadetes bacterium 13_1_40CM_2_60_3
G001919175	s__Crenarchaeota archaeon 13_1_40CM_2_52_14
G001919285	s__archaeon 13_1_40CM_2_52_13
G001919305	s__Actinobacteria bacterium 13_1_40CM_2_66_13
G001919385	s__Acidobacteria bacterium 13_1_40CM_2_64_6
G001919435	s__Acidobacteria bacterium 13_1_40CM_2_56_5
G001919445	s__Acidobacteria bacterium 13_1_40CM_2_60_7
G001919455	s__Acidobacteria bacterium 13_1_40CM_2_56_11
G001919485	s__Verrucomicrobia bacterium 13_1_20CM_54_28
G001919715	s__Acidobacteria bacterium 13_1_20CM_58_21
G001919845	s__Ktedonobacter sp. 13_1_20CM_4_53_7
G001919995	s__Ktedonobacter sp. 13_1_20CM_4_53_11
G001920155	s__Acidobacteria bacterium 13_1_20CM_4_57_11
G001920165	s__Acidobacteria bacterium 13_1_20CM_4_56_7
G001920195	s__Gemmatimonas sp. 13_1_20CM_3_60_15
G001920235	s__Ktedonobacter sp. 13_1_20CM_3_54_15
G001920375	s__Acidobacteria bacterium 13_1_20CM_3_58_11
G001920395	s__Thaumarchaeota archaeon 13_1_20CM_2_39_20
G001920575	s__Crenarchaeota archaeon 13_1_20CM_2_53_14
G001920655	s__archaeon 13_1_20CM_2_54_9
G001920725	s__Actinobacteria bacterium 13_1_20CM_2_66_18
G001920795	s__Acidobacteria bacterium 13_1_20CM_2_68_14
G001920815	s__Acidobacteria bacterium 13_1_20CM_2_60_10
G001920835	s__Acidobacteria bacterium 13_1_20CM_2_57_8
G001920875	s__Acidobacteria bacterium 13_1_20CM_2_55_15
G001921215	g__Actinophytocola
G001922025	s__Lactobacillus parabuchneri
G001922955	s__Alteromonadales bacterium BS08
G001924935	s__Pseudoalteromonas haloplanktis
G001927245	g__Acuticoccus
G001931505	g__Pajaroellobacter
G001931535	g__Minicystis
G001936115	s__Actinomyces marimammalium
G001936255	s__Borrelia anserina
G001937155	g__Salinicola
G001939115	s__Oscillatoriales cyanobacterium 'hensonii'
G001939945	g__Rhodocista
G001940565	f__Tissierellaceae
G001940645	s__Ca. Heimdallarchaeota archaeon LC_3
G001940655	p__Ca. Lokiarchaeota
G001940665	s__Ca. Odinarchaeota archaeon LCB_4
G001940705	s__Ca. Thorarchaeota archaeon AB_25
G001940725	s__Ca. Heimdallarchaeota archaeon LC_2
G001940755	s__Ca. Heimdallarchaeota archaeon AB_125
G001940805	s__Methanocorpusculaceae archaeon Phil4
G001940825	s__Sphaerochaeta sp. Phil3
G001940845	s__Christensenellaceae bacterium Phil7
G001940855	s__Christensenellaceae bacterium Phil1
G001940885	s__Succinivibrio sp. Phil9
G001940895	s__Christensenellaceae bacterium Phil10
G001940945	s__Akkermansia sp. Phil8
G001940985	s__Mollicutes bacterium Phil14
G001940995	s__Ruminococcus sp. Phil15
G001941025	s__Lachnospiraceae bacterium Zagget3
G001941055	s__Ruminococcus sp. Zagget7
G001941065	s__Alistipes sp. Zagget8
G001941135	s__Ruminococcus sp. Zagget11
G001941205	s__Synergistes sp. Zagget9
G001941225	s__Oscillospiraceae bacterium Zagget12
G001941345	s__Corynebacterium stationis
G001941805	s__Acinetobacter junii
G001941825	s__Massilia putida
G001941945	s__Roseomonas gilardii
G001945525	s__Ileibacterium valens
G001945605	s__Dubosiella newyorkensis
G001950115	g__Paeniclostridium
G001950395	s__Coriobacteriaceae bacterium EMTCatB1
G001951175	s__Lactobacillus crustorum
G001952815	s__Sphingobacterium sp. B29
G001953075	g__Halioglobus
G001953175	s__Dehalogenimonas formicexedens
G001953195	s__Acinetobacter soli
G001953785	s__Lactobacillus murinus
G001955715	s__Rhodoferax saidenbachensis
G001956915	s__Monashia flava
G001956985	g__Paludisphaera
G001957125	s__Shewanella sp. UCD-KL12
G001957175	s__Colwellia sp. UCD-KL20
G001968815	g__Motiliproteus
G001968835	g__Tersicoccus
G001968985	s__Desulfurobacterium indicum
G001969385	s__Thiobacimonas profunda
G001971785	g__Seonamhaeicola
G001975465	s__Chlorobium sp. KB01
G001975685	g__Jeotgalibaca
G001975825	s__[Flexibacter] sp. ATCC 35208
G001983935	g__Fuerstia
G001995005	s__Epulopiscium sp. Nuni2H_MBin003
G001995095	s__Oceanospirillum linum
G001995405	s__Salinivibrio sp. AR640
G001995415	s__Salinivibrio sp. AR647
G001996105	s__Salinivibrio sp. IB643
G001996115	s__Salinivibrio sp. MA427
G001996245	s__Salinivibrio sp. MA607
G001996265	s__Salinivibrio sp. MA440
G001997385	s__Phycisphaerae bacterium L21-RPul-D3
G001999965	s__Phycisphaerae bacterium SM-Chi-D1
G002000055	g__Marinicella
G002000245	s__Sphingobacterium sp. CZ-UAM
G002003465	g__Caenibacillus
G002003665	s__Bombella intestini
G002005165	g__Novibacillus
G002005305	s__Shewanella psychrophila
G002005325	g__Ca. Tokpelaia
G002005365	g__Paenalcaligenes
G002005465	g__Neoasaia
G002006795	s__Wohlfahrtiimonas sp. 34C10-3-10
G002006815	s__Synechococcus sp. Tous
G002006995	g__Izhakiella
G002007295	s__Epulopiscium sp. AS2M-Bin001
G002007305	s__Epulopiscium sp. Nele67-Bin002
G002007375	s__Epulopiscium sp. Nele67-Bin001
G002007645	s__Phycisphaerae bacterium ST-NAGAB-D1
G002009965	s__Methanothermococcus sp. JdFR-03
G002009975	s__Thermococcus sp. JdFR-02
G002009985	s__Ca. Bathyarchaeota archaeon JdFR-10
G002010045	s__Archaeoglobus sp. JdFR-22
G002010075	s__Methanomicrobia archaeon JdFR-19
G002010125	s__Archaeoglobus sp. JdFR-23
G002010155	s__Archaeoglobus sp. JdFR-31
G002010195	s__Archaeoglobus sp. JdFR-32
G002010215	s__Archaeoglobus sp. JdFR-37
G002010285	s__Archaeoglobus sp. JdFR-41
G002010295	s__Archaeoglobus sp. JdFR-39
G002010305	s__Archaeoglobi archaeon JdFR-42
G002010355	s__Ca. Acetothermia bacterium JdFR-49
G002010365	s__Ca. Acetothermia bacterium JdFR-50
G002010385	s__Ca. Acetothermia bacterium JdFR-52
G002010445	s__Dehalococcoides sp. JdFR-57
G002010535	s__Thermoanaerobacterales bacterium JdFR-68
G002010545	s__Anaerolineales bacterium JdFR-64
G002010555	s__bacterium JdFR-67
G002010615	s__bacterium JdFR-70
G002010635	s__Ca. Hydrothermae bacterium JdFR-71
G002010655	s__Ca. Hydrothermae bacterium JdFR-74
G002010715	s__Ca. Aminicenantes bacterium JdFR-79
G002010755	s__Nitrospirae bacterium JdFR-87
G002010775	s__Nitrospirae bacterium JdFR-84
G002011035	s__Ca. Bathyarchaeota archaeon JdFR-11
G002011075	s__Ca. Geothermarchaeota archaeon JdFR-13
G002011125	s__Ca. Hydrothermarchaeota archaeon JdFR-18
G002011155	s__Euryarchaeota archaeon JdFR-20
G002011165	s__Euryarchaeota archaeon JdFR-21
G002011215	s__Archaeoglobus sp. JdFR-24
G002011235	s__Archaeoglobus sp. JdFR-27
G002011315	s__Archaeoglobus sp. JdFR-35
G002011365	s__Ca. Acetothermia bacterium JdFR-46
G002011395	s__Aciduliprofundum sp. JdFR-45
G002011415	s__Ca. Acetothermia bacterium JdFR-47
G002011425	s__Ca. Acetothermia bacterium JdFR-48
G002011435	s__Ca. Acetothermia bacterium JdFR-51
G002011475	s__Dehalococcoides sp. JdFR-54
G002011495	s__Dehalococcoides sp. JdFR-56
G002011535	s__Chloroflexi bacterium JdFR-59
G002011565	s__bacterium JdFR-65
G002011575	s__bacterium JdFR-66
G002011615	s__Ca. Hydrothermae bacterium JdFR-72
G002011635	s__Ca. Hydrothermae bacterium JdFR-75
G002011655	s__Anaerolineales bacterium JdFR-63
G002011675	s__Ca. Hydrothermae bacterium JdFR-73
G002011685	s__Deferribacteres bacterium JdFR-76
G002011715	s__Nitrospirae bacterium JdFR-83
G002011735	s__Nitrospirae bacterium JdFR-81
G002011745	s__Nitrospirae bacterium JdFR-85
G002011795	s__Nitrospirae bacterium JdFR-88
G002011815	s__Nitrospirae bacterium JdFR-86
G002011845	s__Desulfarculaceae bacterium JdFR-96
G002011895	s__Desulfarculaceae bacterium JdFR-98
G002013915	s__Mucilaginibacter pedocola
G002014855	s__Moraxella porci
G002019695	s__[Bacillus] clarkii
G002019735	s__[Bacillus] agaradhaerens
G002020805	s__Solemya elarraichensis gill symbiont
G002020875	s__Solemya velesiana gill symbiont
G900002265	s__Serratia symbiotica
G900009135	s__Planktothrix sp. PCC 11201
G900010725	s__Planktothrix serta
G900011245	s__Bradyrhizobium sp.
G900012635	s__Thermococcus chitonophagus
G900025055	s__uncultured Methanoculleus sp.
G900039485	s__Ca. Doolittlea endobia
G900044015	g__Ca. Hoaglandella
G900048035	g__Ca. Gullanella
G900048045	g__Ca. Mikella
G900048895	g__Neglecta
G900070355	g__Devriesea
G900078695	s__Bordetella trematum
G900078795	s__bacterium 2013Ark19i
G900086555	s__Neisseria weaveri
G900086585	s__Emergencia timonensis
G900086725	g__Bariatricus
G900087055	g__Plesiomonas
G900089075	g__Vaginella
G900089455	g__Orrella
G900090055	g__Cuniculiplasma
G900091655	s__Culturomica massiliensis
G900092135	g__Raineyella
G900092645	g__Ca. Thiosymbion
G900093605	s__Terasakiella sp. PR1
G900093775	s__Bacillus glycinifermentans
G900094635	s__methanotrophic endosymbiont of Bathymodiolus azoricus (Menez Gwen)
G900094705	s__Chitinophaga costaii
G900094985	s__Bacillus sp. nio-1130
G900095015	s__Weissella hellenica
G900095135	s__Proteiniphilum saccharofermentans
G900095305	g__Proteiniborus
G900095615	g__Sporanaerobacter
G900095795	g__Petrimonas
G900095815	s__Methanothermobacter wolfeii
G900095865	g__Massilioclostridium
G900096565	s__bacterium A7P-90m
G900096905	g__Pelagirhabdus
G900096935	s__Leuconostocaceae bacterium R-53105
G900096945	g__Anaerobium
G900099605	s__Alteribacillus persepolensis
G900099655	s__Planomicrobium glaciei
G900099695	g__Propionivibrio
G900099715	s__Ruminococcaceae bacterium YRB3002
G900099745	s__Alteribacillus bidgolensis
G900099815	s__Psychroflexus sediminis
G900099935	g__Pseudoruegeria
G900100005	g__Lutimaribacter
G900100125	g__Dolosicoccus
G900100155	g__Ancylobacter
G900100165	s__Flavobacterium glycines
G900100185	g__Natribacillus
G900100245	s__Lachnospiraceae bacterium G41
G900100295	s__Salimicrobium halophilum
G900100345	s__Paenibacillus tianmuensis
G900100375	s__Flavobacterium noncentrifugens
G900100385	g__Halovenus
G900100435	s__Pedobacter sp. ok626
G900100455	g__Roseospirillum
G900100485	s__Nitrosomonas sp. Nm132
G900100605	g__Sinosporangium
G900100635	s__Prevotella sp. BP1-148
G900100655	g__Limimonas
G900100705	s__Pedobacter terrae
G900100715	s__Methanolobus vulcani
G900100765	g__Catalinimonas
G900100875	g__Halopelagius
G900100945	s__Mucilaginibacter gossypii
G900101015	g__Sarcina
G900101065	s__Jeotgalicoccus halophilus
G900101335	g__Quadrisphaera
G900101345	g__Desulfoluna
G900101395	s__Niabella drilacis
G900101435	s__Pedobacter soli
G900101495	s__Alkaliphilus peptidifermentans
G900101525	g__Marinilactibacillus
G900101595	s__Paenibacillus sp. cl123
G900101645	g__Succiniclasticum
G900101785	g__Auraticoccus
G900101815	g__Pricia
G900101825	g__Aquimonas
G900101835	g__Peptococcus
G900101875	s__Mucilaginibacter pineti
G900101965	g__Rhodospira
G900102055	g__Ulvibacter
G900102085	s__Paenibacillus sp. BL9
G900102125	s__Paenibacillus sp. cl6col
G900102215	g__Fontibacillus
G900102385	s__Bacteroidales bacterium KHT7
G900102435	g__Sporolituus
G900102515	s__Butyrivibrio sp. INlla14
G900102545	s__Chitinophaga filiformis
G900102615	s__Geotoga petraea
G900102685	g__Melghirimyces
G900102795	g__Epibacterium
G900102835	s__Sphingobacterium mizutaii
G900102855	g__Thiohalomonas
G900102905	g__Albidovulum
G900102915	s__Salinimicrobium catena
G900102965	s__Paenibacillus jilunlii
G900103005	g__Acidaminobacter
G900103125	s__Mucilaginibacter sp. OK268
G900103135	g__Halarsenatibacter
G900103145	s__Nitrosospira sp. Nsp18
G900103215	g__Kriegella
G900103285	g__Siphonobacter
G900103425	s__Allisonella histaminiformans
G900103505	g__Haloarchaeobius
G900103545	s__Pedobacter ruber
G900103825	s__Paenibacillus sp. yr247
G900103835	g__Acetanaerobacterium
G900103915	g__Tenuibacillus
G900104045	s__Desulfonauticus submarinus
G900104145	s__Pseudovibrio sp. Tun.PHSC04-5.I4
G900104155	s__Butyrivibrio sp. INlla16
G900104295	s__Prevotella sp. BP1-145
G900104335	s__Pseudobutyrivibrio sp. YE44
G900104445	g__Desulforhopalus
G900104455	g__Dendrosporobacter
G900104485	g__Bauldia
G900104505	g__Alloactinosynnema
G900104605	s__Tidjanibacter massiliensis
G900104615	g__Phocea
G900104665	g__Traorella
G900104675	g__Angelakisella
G900105035	s__Gramella sp. MAR_2010_102
G900105065	g__Friedmanniella
G900105645	s__Desulfobacula phenolica
G900105765	g__Haloactinobacterium
G900105865	s__Arcanobacterium phocae
G900106055	s__Actinomyces radingae
G900106595	s__Marinococcus luteus
G900106615	s__Lachnospiraceae bacterium KHCPX20
G900106745	s__Paenibacillus sp. CF384
G900106765	g__Tepidimicrobium
G900106775	g__Marininema
G900106785	g__Prevotellamassilia
G900106855	s__Varibaculum sp. Marseille-P2802
G900106945	s__Marinobacter mobilis
G900106955	s__Aidingimonas halophila
G900106985	g__Hydrobacter
G900107025	g__Roseicitreum
G900107065	s__Prevotella sp. lc2012
G900107125	s__Eubacterium barkeri
G900107185	s__Ruminococcaceae bacterium YAD3003
G900107215	s__Acetomicrobium thermoterrenum
G900107235	g__Citreimonas
G900107265	s__Nitrosomonas sp. Nm33
G900107275	s__Bacillus caseinilyticus
G900107305	s__Thermoactinomyces sp. DSM 45892
G900107335	s__Nitrosomonas sp. Nm58
G900107355	g__Lentibacter
G900107405	g__Tindallia
G900107505	s__Trichococcus collinsii
G900107535	s__Pedobacter hartonius
G900107545	s__Pseudobutyrivibrio sp. ACV-2
G900107575	s__Lachnospiraceae bacterium NK3A20
G900107585	g__Rubrimonas
G900107645	g__Desulfuromusa
G900107695	s__Thiothrix caldifontis
G900107705	s__Prevotella sp. tc2-28
G900107765	g__Arachidicoccus
G900107785	s__Porphyromonadaceae bacterium KH3R12
G900107835	s__Oribacterium sp. KHPX15
G900107845	g__Alkalimonas
G900107875	s__Paenibacillus sp. 276b
G900107885	g__Lonsdalea
G900108485	s__Rheinheimera pacifica
G900108575	s__Tardiphaga sp. OK245
G900108915	g__Pseudospirillum
G900109035	g__Cribrihabitans
G900109065	g__Halohasta
G900109115	g__Xiangella
G900109135	s__Trichococcus sp. DSM 22150
G900109365	g__Parapedobacter
G900109475	s__Butyrivibrio sp. ob235
G900109555	g__Pacificibacter
G900109575	g__Pseudosphingobacterium
G900109585	s__Carnobacterium iners
G900109685	s__Chitinophaga rupis
G900109785	s__Nitrosovibrio tenuis
G900109895	s__bacterium A37T11
G900110015	s__Terribacillus saccharophilus
G900110045	g__Hydrogenoanaerobacterium
G900110085	s__Prevotella sp. ne3005
G900110165	g__Lihuaxuella
G900110215	g__Halorientalis
G900110245	s__Niastella yeongjuensis
G900110315	s__Paenibacillus sophorae
G900110415	s__Mucilaginibacter sp. OK283
G900110425	g__Salinihabitans
G900110485	g__Propionispora
G900110585	g__Aquisalimonas
